stationID,date,rainfall
3554,02/01/1890,4.3
3554,03/01/1890,1.0
3554,04/01/1890,0.0
3554,05/01/1890,0.0
3554,06/01/1890,0.0
3554,07/01/1890,0.0
3554,08/01/1890,49.3
3554,09/01/1890,6.9
3554,10/01/1890,0.5
3554,11/01/1890,0.0
3554,12/01/1890,0.0
3554,13/01/1890,1.5
3554,14/01/1890,2.3
3554,15/01/1890,0.0
3554,16/01/1890,1.5
3554,17/01/1890,0.0
3554,18/01/1890,0.0
3554,19/01/1890,0.0
3554,20/01/1890,3.6
3554,21/01/1890,0.0
3554,22/01/1890,0.0
3554,23/01/1890,0.0
3554,24/01/1890,0.0
3554,25/01/1890,1.0
3554,26/01/1890,0.0
3554,27/01/1890,0.0
3554,28/01/1890,0.0
3554,29/01/1890,0.0
3554,30/01/1890,0.0
3554,31/01/1890,0.0
3554,01/02/1890,0.0
3554,02/02/1890,0.0
3554,03/02/1890,0.0
3554,04/02/1890,0.0
3554,05/02/1890,0.0
3554,06/02/1890,0.0
3554,07/02/1890,0.0
3554,08/02/1890,0.0
3554,09/02/1890,0.0
3554,10/02/1890,0.0
3554,11/02/1890,0.0
3554,12/02/1890,2.0
3554,13/02/1890,0.0
3554,14/02/1890,0.0
3554,15/02/1890,0.0
3554,16/02/1890,0.0
3554,17/02/1890,0.0
3554,18/02/1890,0.0
3554,19/02/1890,1.5
3554,20/02/1890,0.0
3554,21/02/1890,0.0
3554,22/02/1890,0.0
3554,23/02/1890,0.0
3554,24/02/1890,0.0
3554,25/02/1890,0.0
3554,26/02/1890,0.0
3554,27/02/1890,0.0
3554,28/02/1890,0.0
3554,01/03/1890,0.0
3554,02/03/1890,0.0
3554,03/03/1890,0.0
3554,04/03/1890,0.0
3554,05/03/1890,0.0
3554,06/03/1890,0.0
3554,07/03/1890,0.0
3554,08/03/1890,0.0
3554,09/03/1890,0.0
3554,10/03/1890,0.0
3554,11/03/1890,0.0
3554,12/03/1890,0.0
3554,13/03/1890,0.0
3554,14/03/1890,0.0
3554,15/03/1890,17.0
3554,16/03/1890,0.0
3554,17/03/1890,0.0
3554,18/03/1890,0.0
3554,19/03/1890,0.0
3554,20/03/1890,0.0
3554,21/03/1890,0.0
3554,22/03/1890,0.0
3554,23/03/1890,0.5
3554,24/03/1890,0.3
3554,25/03/1890,0.3
3554,26/03/1890,1.0
3554,27/03/1890,0.0
3554,28/03/1890,0.0
3554,29/03/1890,0.0
3554,30/03/1890,14.0
3554,31/03/1890,8.9
3554,01/04/1890,0.0
3554,02/04/1890,0.0
3554,03/04/1890,0.0
3554,04/04/1890,1.8
3554,05/04/1890,2.8
3554,06/04/1890,0.0
3554,07/04/1890,0.0
3554,08/04/1890,0.0
3554,09/04/1890,0.0
3554,10/04/1890,7.1
3554,11/04/1890,0.0
3554,12/04/1890,0.0
3554,13/04/1890,7.6
3554,14/04/1890,0.5
3554,15/04/1890,6.1
3554,16/04/1890,8.9
3554,17/04/1890,8.1
3554,18/04/1890,2.8
3554,19/04/1890,12.4
3554,20/04/1890,7.9
3554,21/04/1890,0.0
3554,22/04/1890,0.0
3554,23/04/1890,0.8
3554,24/04/1890,0.0
3554,25/04/1890,0.0
3554,26/04/1890,0.0
3554,27/04/1890,0.0
3554,28/04/1890,0.0
3554,29/04/1890,0.0
3554,30/04/1890,0.0
3554,01/05/1890,0.0
3554,02/05/1890,0.0
3554,03/05/1890,0.0
3554,04/05/1890,2.5
3554,05/05/1890,1.3
3554,06/05/1890,0.0
3554,07/05/1890,0.0
3554,08/05/1890,0.0
3554,09/05/1890,0.0
3554,10/05/1890,0.0
3554,11/05/1890,1.0
3554,12/05/1890,7.1
3554,13/05/1890,9.1
3554,14/05/1890,1.0
3554,15/05/1890,0.0
3554,16/05/1890,0.0
3554,17/05/1890,0.8
3554,18/05/1890,0.0
3554,19/05/1890,3.8
3554,20/05/1890,0.0
3554,21/05/1890,14.7
3554,22/05/1890,3.8
3554,23/05/1890,0.0
3554,24/05/1890,0.0
